junction_name,violation_density,road_type_score_mean,rush_hour_conc,violation_severity_mean,multi_violation_rate,junction_recurrence_rate,junction_chronic_count,center_lat,center_lon,total_violations,peak_hour_ist,dominant_shift,top_vehicle,top_violation,monthly_counts,decay_trend
BTP044 - Sagar Theatre Junction,0.68282736746715,0.4837709735519954,0.5630865484880083,0.5085884918001706,0.05668783770973552,0.9545454545454546,57,12.974938996857006,77.57889570478889,10549,9,MORNING,SCOOTER,NO PARKING,"{""January"": 2533, ""December"": 2001, ""February"": 1906, ""November"": 1763, ""March"": 1749, ""April"": 597}",DECREASING
BTP051 - Safina Plaza Junction,1.0,0.23657841931516607,0.7230241439575377,0.5149750792931581,0.10654411288756553,1.0,67,12.981212065557246,77.60869513989651,15449,10,MORNING,SCOOTER,WRONG PARKING,"{""January"": 3609, ""November"": 3265, ""March"": 2979, ""February"": 2491, ""December"": 2412, ""April"": 693}",DECREASING
BTP205 - Modi Hospital Junction,0.06764191857078128,0.2164593301435407,0.5521531100478468,0.5237320574162679,0.08133971291866028,0.5,0,12.997488303320912,77.54695407575123,1045,10,MORNING,CAR,WRONG PARKING,"{""February"": 327, ""December"": 290, ""January"": 175, ""March"": 147, ""November"": 54, ""April"": 52}",STABLE
BTP043 - Upparpet Junction,0.11560618810278983,0.6373460246360582,0.5117581187010078,0.503919372900336,0.0341545352743561,0.5,0,12.971139927984627,77.57557195804273,1786,8,MORNING,SCOOTER,WRONG PARKING,"{""January"": 444, ""December"": 374, ""February"": 325, ""November"": 302, ""March"": 293, ""April"": 48}",STABLE
BTP034 - LRDE Junction,0.014046216583597644,0.2230414746543779,0.5483870967741935,0.5048387096774194,0.06912442396313365,0.3181818181818182,0,12.988339276825316,77.5917559860704,217,8,MORNING,CAR,WRONG PARKING,"{""December"": 68, ""November"": 46, ""March"": 41, ""January"": 32, ""February"": 20, ""April"": 10}",STABLE
BTP040 - Elite Junction,0.6937665868340993,0.5234372084344094,0.5555140884493376,0.5034521365926479,0.03144243328979287,0.9090909090909091,40,12.976596713370032,77.5766021547117,10718,9,MORNING,SCOOTER,NO PARKING,"{""December"": 2464, ""January"": 2212, ""March"": 2040, ""November"": 1716, ""February"": 1594, ""April"": 692}",DECREASING
BTP038 - Mysore Bank Junction,0.1308175286426306,0.34017812963879274,0.616031667491341,0.5095744680851064,0.058881741712023754,0.6363636363636364,0,12.973430411726868,77.58124380880751,2021,9,MORNING,CAR,WRONG PARKING,"{""December"": 610, ""January"": 459, ""November"": 421, ""February"": 245, ""March"": 210, ""April"": 76}",DECREASING
BTP032 - Windsor Circle,0.1779403197617969,0.2655511094943616,0.3197526373226628,0.5136958894143325,0.06329574390687523,0.5,0,12.993087912687146,77.58818366254266,2749,3,NIGHT,SCOOTER,WRONG PARKING,"{""December"": 1112, ""January"": 633, ""November"": 600, ""March"": 233, ""February"": 150, ""April"": 21}",DECREASING
BTP027 - Modi Bridge Junction,0.2967182341899152,0.32705061082024434,0.5711169284467714,0.5070789703315881,0.03555846422338569,0.6363636363636364,4,12.998897494610551,77.54941567682629,4584,7,MORNING,SCOOTER,WRONG PARKING,"{""December"": 1150, ""November"": 854, ""January"": 847, ""February"": 805, ""March"": 679, ""April"": 249}",DECREASING
BTP091 - Sirsi Circle,0.017023755582885623,0.5574144486692014,0.19011406844106463,0.5994296577946767,0.33079847908745247,0.18181818181818182,0,12.962208439163497,77.55862826692017,263,3,NIGHT,CAR,NO PARKING,"{""March"": 87, ""January"": 63, ""December"": 45, ""February"": 35, ""November"": 19, ""April"": 14}",STABLE
BTP057 - Anand Rao Junction,0.25470904265648264,0.2337738246505718,0.42363405336721727,0.5131639135959339,0.09326556543837357,0.7727272727272727,3,12.979395373087677,77.5743883072681,3935,9,MORNING,CAR,WRONG PARKING,"{""December"": 1038, ""November"": 768, ""January"": 735, ""March"": 724, ""February"": 401, ""April"": 269}",DECREASING
BTP063 - Siddalingaiah Circle,0.06861285520098388,0.200188679245283,0.5943396226415094,0.5163679245283019,0.05566037735849057,0.4090909090909091,0,12.971526511981134,77.5967034683019,1060,11,MORNING,CAR,NO PARKING,"{""December"": 336, ""November"": 240, ""March"": 225, ""January"": 126, ""February"": 100, ""April"": 33}",STABLE
"BTP022 - Marenahalli Junction, Vijayanagar",0.07489157874296071,0.5904926534140018,0.5220397579948142,0.5096369922212619,0.08210890233362143,0.45454545454545453,0,12.968779866920466,77.53673460275871,1157,10,MORNING,SCOOTER,WRONG PARKING,"{""December"": 303, ""February"": 246, ""November"": 226, ""January"": 182, ""March"": 162, ""April"": 38}",STABLE
"BTP016 - 5th Main Road, RPC Layout",0.16013981487474918,0.27320129345189975,0.4195634599838319,0.5070129345189975,0.034357316087308,0.45454545454545453,0,12.965246043934675,77.53784328202111,2474,11,MORNING,SCOOTER,WRONG PARKING,"{""November"": 681, ""December"": 634, ""January"": 488, ""February"": 480, ""March"": 171, ""April"": 20}",DECREASING
"BTP083 - AS Char Street, Mysore Road",0.1798174639135219,0.5467242620590352,0.3923686105111591,0.5676205903527718,0.22462203023758098,0.5454545454545454,0,12.966450044406306,77.57440287238298,2778,0,MORNING,PASSENGER AUTO,WRONG PARKING,"{""December"": 661, ""January"": 601, ""March"": 590, ""February"": 541, ""November"": 293, ""April"": 92}",STABLE
"BTP163 - 16th Main Road, BTM Layout",0.023561395559583146,0.43269230769230754,0.3131868131868132,0.5013736263736264,0.005494505494505495,0.3181818181818182,0,12.914995274450549,77.60852014148351,364,12,MORNING,SCOOTER,NO PARKING,"{""December"": 119, ""November"": 110, ""January"": 61, ""March"": 60, ""April"": 9, ""February"": 5}",STABLE
BTP220 - Puttanna Junction,0.019030357951971,0.47278911564625853,0.6428571428571429,0.5035714285714286,0.05782312925170068,0.36363636363636365,0,12.928844605442176,77.58282851292518,294,11,MORNING,CAR,NO PARKING,"{""November"": 76, ""December"": 76, ""March"": 52, ""February"": 48, ""January"": 41, ""April"": 1}",STABLE
BTP082 - KR Market Junction,0.7468444559518416,0.3609031027907783,0.4040561622464899,0.5107254290171606,0.053302132085283414,0.9090909090909091,50,12.964423750642322,77.57724121294085,11538,0,MORNING,SCOOTER,WRONG PARKING,"{""January"": 2823, ""March"": 2644, ""February"": 2359, ""December"": 2113, ""November"": 1024, ""April"": 575}",STABLE
BTP058 - Subbanna Junction,0.33587934494142013,0.3894584698400463,0.3131624590479861,0.5028040084794758,0.03892850260165735,0.8636363636363636,8,12.979021616597574,77.57866101486218,5189,1,NIGHT,CAR,NO PARKING,"{""December"": 1243, ""January"": 998, ""November"": 931, ""March"": 869, ""February"": 677, ""April"": 471}",DECREASING
BTP064 - Devanga Hostel Junction,0.006731827302738041,0.3951923076923078,0.4423076923076923,0.5100961538461538,0.028846153846153848,0.13636363636363635,0,12.962732790384614,77.58990461057692,104,5,MORNING,CAR,NO PARKING,"{""February"": 40, ""December"": 20, ""November"": 19, ""March"": 16, ""January"": 6, ""April"": 3}",STABLE
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",0.07819276328564956,0.5445364238410596,0.14817880794701987,0.5204884105960265,0.061258278145695365,0.5454545454545454,0,12.993694996696341,77.55379199356938,1208,3,NIGHT,CAR,WRONG PARKING,"{""January"": 268, ""March"": 253, ""February"": 235, ""December"": 214, ""November"": 148, ""April"": 90}",STABLE
"BTP123 - 10th Cross, Wilson Garden",0.03463007314389281,0.4482242990654206,0.5439252336448598,0.5006542056074766,0.014953271028037384,0.2727272727272727,0,12.946002433979519,77.59607296917757,535,8,MORNING,SCOOTER,NO PARKING,"{""March"": 169, ""February"": 147, ""December"": 73, ""April"": 62, ""November"": 58, ""January"": 26}",STABLE
BTP141 - Palmgroove Junction,0.0032364554340086737,0.204,0.3,0.5209999999999999,0.12,0.13636363636363635,0,12.968292564,77.613494202,50,4,MORNING,CAR,NO PARKING,"{""December"": 20, ""January"": 12, ""February"": 10, ""November"": 7, ""March"": 1}",STABLE
BTP155 - Katriguppe Junction,0.02194316784257881,0.21769911504424777,0.49557522123893805,0.525811209439528,0.09144542772861357,0.13636363636363635,0,12.9266994100295,77.55074285663717,339,11,MORNING,SCOOTER,NO PARKING,"{""December"": 121, ""April"": 106, ""March"": 62, ""February"": 22, ""November"": 17, ""January"": 11}",STABLE
BTP126 - Dairy Circle,0.02161952229917794,0.4679640718562875,0.3263473053892216,0.6288922155688622,0.36826347305389223,0.2727272727272727,0,12.936743940419163,77.60242927844311,334,7,MORNING,CAR,WRONG PARKING,"{""December"": 103, ""January"": 70, ""November"": 65, ""February"": 37, ""March"": 30, ""April"": 29}",STABLE
BTP045 - Danvanthri Road Junction,0.20590329471163182,0.2879283244262811,0.46589122917321596,0.5132977051241747,0.08047783715812637,0.5909090909090909,0,12.977065128575918,77.57478964140208,3181,10,MORNING,CAR,WRONG PARKING,"{""December"": 879, ""January"": 740, ""November"": 621, ""March"": 451, ""February"": 323, ""April"": 167}",DECREASING
BTP048 - Shanthala Junction,0.10311347012751634,0.20803515379786564,0.38355304456999373,0.5630257376020087,0.2787193973634652,0.4090909090909091,0,12.976960576691845,77.57075523407478,1593,7,MORNING,PASSENGER AUTO,NO PARKING,"{""January"": 442, ""March"": 380, ""December"": 340, ""November"": 285, ""February"": 107, ""April"": 39}",STABLE
BTP054 - Shivananda Circle,0.04861156061881028,0.2434087882822903,0.6311584553928096,0.5145805592543276,0.07057256990679095,0.5,0,12.986267004491278,77.57886273319414,751,7,MORNING,CAR,NO PARKING,"{""December"": 218, ""November"": 163, ""January"": 145, ""March"": 116, ""February"": 83, ""April"": 26}",STABLE
BTP071 - Prasanna Junction,0.04666968735840508,0.3036061026352289,0.463245492371706,0.5039528432732316,0.0638002773925104,0.45454545454545453,0,12.974369503954971,77.55203424621543,721,11,MORNING,SCOOTER,NO PARKING,"{""January"": 210, ""February"": 164, ""March"": 132, ""December"": 121, ""November"": 70, ""April"": 24}",STABLE
"BTP080 - NR Road, SP Road Junction",0.23826784905171855,0.2392284705243141,0.6386851399076338,0.5131486009236621,0.047813094267862,0.6818181818181818,4,12.964396575724733,77.58316820553203,3681,10,MORNING,SCOOTER,WRONG PARKING,"{""February"": 935, ""December"": 814, ""March"": 653, ""November"": 555, ""January"": 537, ""April"": 187}",DECREASING
"BTP168 - MSR Building, JC Road",0.0085442423457829,0.22651515151515153,0.2878787878787879,0.5170454545454546,0.06818181818181818,0.13636363636363635,0,12.96118081060606,77.58428897045455,132,6,MORNING,CAR,NO PARKING,"{""March"": 40, ""February"": 37, ""December"": 26, ""January"": 19, ""April"": 8, ""November"": 2}",STABLE
"BTP226 - 33rd Cross, 11th Main, Jayanagar",0.03184672147064535,0.6178861788617886,0.6707317073170732,0.6071138211382113,0.3252032520325203,0.45454545454545453,0,12.925926613617884,77.58563274735772,492,8,MORNING,CAR,NO PARKING,"{""November"": 120, ""December"": 115, ""February"": 89, ""January"": 61, ""March"": 58, ""April"": 49}",STABLE
BTP218 - Syndicate Bank Junction,0.02271991714674089,0.41823361823361827,0.48148148148148145,0.5061253561253561,0.039886039886039885,0.2727272727272727,0,12.934673374928776,77.58443592279201,351,8,MORNING,SCOOTER,WRONG PARKING,"{""March"": 93, ""February"": 90, ""January"": 60, ""December"": 58, ""November"": 46, ""April"": 4}",STABLE
BTP211 - Central Street Junction,0.3487604375687747,0.2139198218262806,0.5202301410541945,0.5198867854491462,0.12138084632516703,0.9545454545454546,8,12.983371022821446,77.60345435130863,5388,10,MORNING,PASSENGER AUTO,WRONG PARKING,"{""January"": 1790, ""March"": 1064, ""November"": 876, ""December"": 771, ""February"": 707, ""April"": 180}",DECREASING
BTP225 - Geetha Junction,0.018577254191209785,0.5811846689895469,0.7456445993031359,0.5165505226480837,0.08710801393728224,0.2727272727272727,0,12.928338116027875,77.58587362578396,287,9,MORNING,SCOOTER,NO PARKING,"{""January"": 74, ""December"": 63, ""March"": 58, ""November"": 51, ""February"": 36, ""April"": 5}",STABLE
BTP166 - Coffee Board Junction,0.00783222215030099,0.2016528925619835,0.4132231404958678,0.5057851239669422,0.049586776859504134,0.18181818181818182,0,12.984920821487604,77.59433667851238,121,7,MORNING,CAR,NO PARKING,"{""November"": 36, ""March"": 26, ""December"": 18, ""February"": 18, ""January"": 14, ""April"": 9}",STABLE
BTP104 - Medical College Circle,0.0976114958897016,0.33687002652519904,0.40981432360742703,0.5113063660477454,0.05106100795755968,0.45454545454545453,0,12.959562748076925,77.57661357181698,1508,11,MORNING,SCOOTER,WRONG PARKING,"{""January"": 368, ""December"": 325, ""February"": 296, ""March"": 283, ""April"": 131, ""November"": 105}",STABLE
BTP119 - Minerva Circle,0.012881092627354521,0.20653266331658288,0.48743718592964824,0.5419597989949748,0.1407035175879397,0.18181818181818182,0,12.955163112562813,77.58039649145728,199,6,MORNING,SCOOTER,WRONG PARKING,"{""November"": 49, ""December"": 49, ""February"": 39, ""January"": 31, ""March"": 28, ""April"": 3}",STABLE
BTP215 - Vanivillas Junction,0.02809243316719529,0.2087557603686636,0.5253456221198156,0.5111751152073732,0.03225806451612903,0.3181818181818182,0,12.946120153483719,77.57023379090926,434,10,MORNING,CAR,NO PARKING,"{""December"": 112, ""November"": 91, ""April"": 86, ""February"": 61, ""January"": 45, ""March"": 39}",STABLE
BTP020 - Hosahalli Metro Station,0.2654540746973914,0.33528407705437696,0.41063155327968787,0.5047183613752744,0.04242867593269934,0.5454545454545454,0,12.97414419858571,77.54529421309437,4101,4,MORNING,SCOOTER,WRONG PARKING,"{""December"": 1267, ""January"": 1018, ""February"": 645, ""November"": 573, ""March"": 527, ""April"": 71}",DECREASING
BTP121 - KH Circle,0.006926014628778562,0.2102803738317757,0.5607476635514018,0.5112149532710281,0.08411214953271028,0.13636363636363635,0,12.951853676635512,77.59037472710278,107,7,MORNING,CAR,NO PARKING,"{""November"": 39, ""January"": 30, ""December"": 20, ""February"": 8, ""March"": 7, ""April"": 3}",STABLE
BTP069 - MC Circle,0.06958379183118649,0.22334883720930232,0.4781395348837209,0.5135348837209301,0.08093023255813954,0.3181818181818182,0,12.974620575358045,77.54751794417267,1075,11,MORNING,SCOOTER,WRONG PARKING,"{""March"": 324, ""January"": 263, ""December"": 249, ""November"": 105, ""February"": 92, ""April"": 42}",STABLE
"BTP070 - Cholurpalya Junction, Magadi Road",0.14706453492135413,0.3749559859154929,0.5387323943661971,0.5066241197183098,0.05765845070422535,0.4090909090909091,0,12.973484256997908,77.550805919489,2272,11,MORNING,SCOOTER,NO PARKING,"{""January"": 692, ""December"": 453, ""March"": 427, ""November"": 358, ""February"": 262, ""April"": 80}",DECREASING
BTP134 - Mico Bande,0.0031717263253285004,0.7428571428571429,0.2653061224489796,0.5142857142857142,0.061224489795918366,0.09090909090909091,0,12.945696853061223,77.60254793673468,49,3,NIGHT,CAR,WRONG PARKING,"{""November"": 14, ""December"": 14, ""March"": 13, ""February"": 4, ""January"": 4}",STABLE
BTP208 - Havanur Circle,0.05256003624830086,0.3751231527093597,0.583743842364532,0.5241995073891625,0.09359605911330049,0.3181818181818182,0,12.987954160845806,77.53755577344508,812,10,MORNING,CAR,WRONG PARKING,"{""March"": 215, ""February"": 203, ""January"": 135, ""November"": 110, ""December"": 97, ""April"": 52}",STABLE
"BTP024 - NPS, Vijayanagar",0.040908796685869636,0.48512658227848104,0.39556962025316456,0.5129746835443039,0.04272151898734177,0.36363636363636365,0,12.98291347845193,77.54882366500652,632,4,MORNING,CAR,WRONG PARKING,"{""March"": 275, ""December"": 106, ""January"": 77, ""April"": 67, ""November"": 62, ""February"": 45}",STABLE
"BTP210 - 50th cross, 12th Main , Rajajinagar",0.02945174444947893,0.6443956043956044,0.3142857142857143,0.5010989010989011,0.013186813186813187,0.36363636363636365,0,12.986979151428573,77.55512463802198,455,3,NIGHT,CAR,WRONG PARKING,"{""February"": 127, ""January"": 82, ""December"": 78, ""March"": 70, ""November"": 61, ""April"": 37}",STABLE
BTP118 - Basappa Circle,0.04226810796815328,0.5107197549770292,0.45176110260336905,0.5164624808575804,0.07656967840735068,0.3181818181818182,0,12.958166349617152,77.57756666983155,653,10,MORNING,SCOOTER,WRONG PARKING,"{""January"": 164, ""December"": 141, ""February"": 125, ""March"": 96, ""November"": 86, ""April"": 41}",STABLE
BTP132 - Anepalya Junction,0.010227199171467409,0.6373417721518987,0.4240506329113924,0.5120253164556963,0.0379746835443038,0.18181818181818182,0,12.951251251265823,77.60690484050633,158,10,MORNING,CAR,NO PARKING,"{""January"": 74, ""March"": 43, ""February"": 22, ""November"": 11, ""April"": 8}",STABLE
BTP207 - 8th Main Road Basaveshwara Nagar,0.01378730014887695,0.35915492957746487,0.5727699530516432,0.518075117370892,0.07042253521126761,0.18181818181818182,0,12.991897484976526,77.53847353051646,213,10,MORNING,CAR,WRONG PARKING,"{""February"": 106, ""March"": 82, ""December"": 8, ""January"": 8, ""November"": 7, ""April"": 2}",STABLE
BTP172 - Nanjappa Circle,0.05022978833581462,0.20141752577319588,0.3479381443298969,0.500451030927835,0.011597938144329897,0.2727272727272727,0,12.961702129381443,77.59948909484535,776,4,MORNING,SCOOTER,NO PARKING,"{""December"": 224, ""January"": 159, ""March"": 158, ""February"": 129, ""November"": 75, ""April"": 31}",STABLE
"BTP095 - Satellite Bus Stand, Mysore Road",0.05016505922713444,0.5845161290322579,0.4774193548387097,0.5309032258064517,0.13419354838709677,0.2727272727272727,0,12.953825250666533,77.54339804607628,775,10,MORNING,SCOOTER,WRONG PARKING,"{""November"": 213, ""January"": 179, ""December"": 156, ""February"": 146, ""March"": 72, ""April"": 9}",STABLE
BTP219 - Canara Bank Junction,0.023173020907502104,0.7332402234636871,0.6927374301675978,0.5079608938547486,0.036312849162011177,0.4090909090909091,0,12.931167219553075,77.58453701256984,358,11,MORNING,CAR,NO PARKING,"{""January"": 97, ""December"": 72, ""November"": 68, ""March"": 61, ""February"": 41, ""April"": 19}",STABLE
